id,retention,Usage
4287,1.0,Public
131864,1.0,Public
107197,1.0,Public
80915,1.0,Public
116087,0.0,Public
138474,1.0,Public
44205,1.0,Public
60130,1.0,Public
58134,1.0,Public
77018,1.0,Public
113771,1.0,Public
53112,1.0,Public
119457,1.0,Public
139718,1.0,Public
130261,1.0,Public
110392,1.0,Public
90934,1.0,Public
30751,1.0,Public
17907,1.0,Public
118879,1.0,Public
97759,1.0,Public
66072,1.0,Public
24164,1.0,Public
109988,1.0,Public
3296,1.0,Public
65014,1.0,Public
78406,1.0,Public
65518,1.0,Public
39928,1.0,Public
15897,1.0,Public
98191,1.0,Public
31048,1.0,Public
89190,1.0,Public
119698,1.0,Public
131820,1.0,Public
143221,1.0,Public
129259,0.0,Public
135671,1.0,Public
56820,1.0,Public
131554,1.0,Public
140238,1.0,Public
62771,0.0,Public
122826,0.0,Public
67372,1.0,Public
17607,1.0,Public
54225,1.0,Public
86809,0.0,Public
14808,1.0,Public
128352,1.0,Public
68429,1.0,Public
11541,1.0,Public
106738,1.0,Public
61137,1.0,Public
79218,1.0,Public
34808,1.0,Public
56543,0.0,Public
53960,1.0,Public
6783,1.0,Public
42600,1.0,Public
106297,1.0,Public
40699,1.0,Public
77358,1.0,Public
105277,1.0,Public
120267,1.0,Public
124628,1.0,Public
90566,1.0,Public
80740,0.0,Public
66454,1.0,Public
12074,1.0,Public
10745,0.0,Public
75036,1.0,Public
21032,1.0,Public
130525,1.0,Public
94827,1.0,Public
22334,1.0,Public
21408,1.0,Public
11588,1.0,Public
120906,1.0,Public
130665,1.0,Public
3379,1.0,Public
109670,0.0,Public
128631,1.0,Public
135812,1.0,Public
88592,1.0,Public
115153,1.0,Public
8823,1.0,Public
38531,1.0,Public
118382,1.0,Public
83793,0.0,Public
8443,1.0,Public
118115,1.0,Public
113102,1.0,Public
63173,1.0,Public
99474,1.0,Public
122161,1.0,Public
135282,1.0,Public
62106,1.0,Public
125872,1.0,Public
120288,1.0,Public
18992,1.0,Public
136131,1.0,Public
132349,1.0,Public
104812,1.0,Public
139970,1.0,Public
43225,1.0,Public
15825,1.0,Public
96299,1.0,Public
78253,1.0,Public
66129,1.0,Public
85063,1.0,Public
91247,1.0,Public
6243,1.0,Public
30490,1.0,Public
103181,1.0,Public
44222,1.0,Public
108487,1.0,Public
60673,1.0,Public
136276,1.0,Public
79813,1.0,Public
20068,1.0,Public
90549,1.0,Public
16695,1.0,Public
132259,1.0,Public
98855,1.0,Public
74711,1.0,Public
81620,1.0,Public
79598,1.0,Public
48475,1.0,Public
42871,1.0,Public
143001,1.0,Public
65977,1.0,Public
103297,1.0,Public
95702,1.0,Public
73274,0.0,Public
88539,1.0,Public
79595,0.0,Public
49957,1.0,Public
124577,1.0,Public
121929,1.0,Public
88313,1.0,Public
18779,1.0,Public
108056,0.0,Public
122538,1.0,Public
26552,1.0,Public
12367,1.0,Public
97244,1.0,Public
100046,1.0,Public
115837,1.0,Public
137951,1.0,Public
21238,1.0,Public
108999,1.0,Public
105545,1.0,Public
119347,1.0,Public
37460,1.0,Public
100174,1.0,Public
78313,1.0,Public
100629,1.0,Public
525,1.0,Public
94425,1.0,Public
14350,1.0,Public
91997,1.0,Public
96463,1.0,Public
95965,1.0,Public
140922,1.0,Public
7357,1.0,Public
125293,1.0,Public
56383,1.0,Public
68236,1.0,Public
8983,1.0,Public
53992,1.0,Public
62884,1.0,Public
98311,1.0,Public
65658,1.0,Public
68289,1.0,Public
72836,1.0,Public
95417,1.0,Public
24546,1.0,Public
134353,1.0,Public
142431,1.0,Public
3847,1.0,Public
25487,1.0,Public
82551,1.0,Public
91254,1.0,Public
46453,1.0,Public
55957,1.0,Public
111197,1.0,Public
114945,1.0,Public
31258,1.0,Public
111599,1.0,Public
71270,1.0,Public
141024,1.0,Public
65539,1.0,Public
13582,1.0,Public
122419,1.0,Public
125172,1.0,Public
113172,1.0,Public
140482,1.0,Public
66756,1.0,Public
7116,1.0,Public
117506,1.0,Public
15940,1.0,Public
64507,1.0,Public
80345,1.0,Public
20049,1.0,Public
94853,1.0,Public
33639,1.0,Public
69436,1.0,Public
15230,1.0,Public
8401,1.0,Public
106500,1.0,Public
114118,1.0,Public
25294,1.0,Public
30505,1.0,Public
95582,1.0,Public
43638,1.0,Public
4980,1.0,Public
38265,1.0,Public
91102,1.0,Public
2930,1.0,Public
44777,1.0,Public
48245,0.0,Public
30283,1.0,Public
107511,0.0,Public
128664,1.0,Public
116610,1.0,Public
49597,1.0,Public
118675,1.0,Public
83590,1.0,Public
71059,1.0,Public
133870,1.0,Public
104192,0.0,Public
114529,1.0,Public
127365,1.0,Public
137374,1.0,Public
108808,1.0,Public
8915,1.0,Public
68523,1.0,Public
97263,1.0,Public
92196,0.0,Public
42537,1.0,Public
78733,1.0,Public
1924,1.0,Public
95759,1.0,Public
104595,1.0,Public
7965,1.0,Public
55087,1.0,Public
104094,1.0,Public
61987,1.0,Public
40182,1.0,Public
130780,1.0,Public
55566,1.0,Public
47002,1.0,Public
124075,1.0,Public
86189,1.0,Public
12594,1.0,Public
93294,1.0,Public
16693,1.0,Public
100801,1.0,Public
83362,1.0,Public
94118,1.0,Public
4146,1.0,Public
53411,1.0,Public
98950,1.0,Public
42258,1.0,Public
68633,1.0,Public
47900,1.0,Public
26537,1.0,Public
74348,1.0,Public
139678,0.0,Public
115475,1.0,Public
59125,1.0,Public
54846,1.0,Public
33636,1.0,Public
69377,0.0,Public
100510,1.0,Public
108695,1.0,Public
68914,1.0,Public
59774,1.0,Public
107005,1.0,Public
25836,1.0,Public
126957,1.0,Public
40266,1.0,Public
106815,1.0,Public
52548,1.0,Public
110299,1.0,Public
57270,0.0,Public
93585,1.0,Public
108550,1.0,Public
116921,1.0,Public
47259,1.0,Public
67124,1.0,Public
28521,1.0,Public
110132,1.0,Public
115167,1.0,Public
72426,1.0,Public
116614,1.0,Public
114855,1.0,Public
60437,1.0,Public
80554,1.0,Public
29627,1.0,Public
95329,1.0,Public
138530,1.0,Public
112528,1.0,Public
16387,1.0,Public
29601,1.0,Public
28000,1.0,Public
134589,1.0,Public
89476,1.0,Public
58061,1.0,Public
29323,1.0,Public
138876,1.0,Public
124079,1.0,Public
80731,1.0,Public
135243,1.0,Public
83430,0.0,Public
139369,1.0,Public
8603,1.0,Public
57647,1.0,Public
90187,0.0,Public
