id,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,name_sentiment,description_length,description_sentiment,neighborhood_overview_length,neighborhood_overview_sentiment,host_name_first_letter,predicted_gender,host_about_length,host_about_sentiment,same_neighbourhood,bathrooms_number,bathrooms_type,amenities_count
528022,0.0,2594559.0,3830.0,2.0,87.0,96.0,1.0,1.0,1.0,1.0,1.0,52.39114,4.88846,20.0,2.0,2.0,1.0,1.0,100.0,2.0,30.0,2.0,2.0,30.0,30.0,2.0,30.0,1.0,4.0,16.0,29.0,212.0,248.0,37.0,3.0,2251.0,7.0,4.85,4.88,4.83,4.93,4.9,4.78,4.72,0.0,1.0,0.0,1.0,0.0,3.3,14.0,0.0,1000.0,3.2166666666666672,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.5,1.0,20.0
2818,0.0,3159.0,5185.0,4.0,100.0,100.0,2.0,1.0,1.0,1.0,1.0,52.36435,4.94358,34.0,2.0,2.0,1.0,2.0,59.0,3.0,28.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,1.0,6.0,27.0,27.0,27.0,314.0,29.0,1.0,4998.0,29.0,4.89,4.93,4.99,4.97,4.98,4.69,4.81,0.0,1.0,0.0,1.0,0.0,1.88,41.0,0.5333333333333333,1000.0,0.2587301587301587,954.0,0.9950000000000001,4.0,1.0,329.0,0.75,0.0,1.5,2.0,44.0
20168,1.0,59484.0,4751.0,4.0,100.0,98.0,1.0,3.0,5.0,1.0,1.0,52.36407,4.89393,37.0,2.0,2.0,1.0,1.0,106.0,1.0,365.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,1.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,4661.0,970.0,4.44,4.69,4.79,4.63,4.62,4.87,4.49,1.0,2.0,0.0,2.0,0.0,2.18,44.0,0.0,1000.0,1.0875,561.0,0.8125,1.0,1.0,33.0,-0.16666666666666666,0.0,1.0,1.0,16.0
27886,0.0,97647.0,4640.0,4.0,100.0,100.0,2.0,1.0,1.0,1.0,1.0,52.38761,4.89188,31.0,2.0,2.0,1.0,1.0,140.0,2.0,356.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,1.0,0.0,17.0,32.0,40.0,243.0,17.0,5.0,3983.0,8.0,4.94,4.93,4.95,4.95,4.92,4.89,4.79,1.0,1.0,0.0,1.0,0.0,1.83,49.0,0.5,1000.0,7.264285714285714,42.0,1.7166666666666668,6.0,1.0,228.0,0.5523809523809524,0.0,1.5,1.0,52.0
28871,0.0,124245.0,4589.0,3.0,100.0,100.0,2.0,2.0,2.0,1.0,1.0,52.36775,4.89092,34.0,2.0,2.0,1.0,1.0,75.0,2.0,1825.0,2.0,2.0,1825.0,1825.0,2.0,1825.0,1.0,0.0,3.0,8.0,91.0,454.0,84.0,7.0,4488.0,15.0,4.88,4.93,4.89,4.95,4.94,4.97,4.83,0.0,2.0,0.0,2.0,0.0,3.03,23.0,0.4,704.0,2.455952380952381,44.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,20.0
29051,0.0,124245.0,4589.0,3.0,100.0,100.0,2.0,2.0,2.0,1.0,1.0,52.36584,4.89111,34.0,2.0,1.0,1.0,1.0,55.0,2.0,730.0,2.0,2.0,730.0,730.0,2.0,730.0,1.0,0.0,4.0,11.0,142.0,602.0,82.0,3.0,4282.0,17.0,4.79,4.88,4.85,4.91,4.91,4.88,4.77,0.0,2.0,0.0,2.0,0.0,4.22,23.0,0.3285714285714286,824.0,2.455952380952381,74.0,0.8363636363636363,5.0,1.0,2.0,0.0,0.0,1.0,2.0,20.0
44391,1.0,194779.0,4502.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,52.37168,4.91471,12.0,0.0,4.0,2.0,2.0,240.0,3.0,730.0,3.0,3.0,730.0,730.0,3.0,730.0,1.0,0.0,0.0,0.0,0.0,44.0,3.0,0.0,4463.0,107.0,4.72,4.68,4.45,4.95,4.9,4.68,4.5,0.0,1.0,1.0,0.0,0.0,0.3,47.0,0.0,1000.0,3.83452380952381,198.0,0.5,10.0,1.0,58.0,0.5,0.0,1.5,1.0,32.0
49552,0.0,225987.0,4473.0,3.0,100.0,92.0,2.0,1.0,2.0,1.0,1.0,52.38028,4.89089,7.0,0.0,3.0,2.0,2.0,260.0,3.0,1125.0,1.0,4.0,1125.0,1125.0,3.0,1125.0,1.0,3.0,25.0,38.0,175.0,451.0,59.0,5.0,4420.0,13.0,4.92,4.92,4.91,4.95,4.97,4.98,4.78,0.0,1.0,1.0,0.0,0.0,3.06,44.0,0.5,1000.0,7.264285714285715,1000.0,4.979166666666666,10.0,2.0,1005.0,7.053138528138529,0.0,1.0,1.0,48.0
50523,0.0,231946.0,4467.0,4.0,100.0,99.0,2.0,1.0,2.0,1.0,1.0,52.36811,4.88262,19.0,2.0,2.0,1.0,1.0,127.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,1.0,4.0,21.0,39.0,211.0,363.0,50.0,2.0,4353.0,22.0,4.87,4.9,4.88,4.87,4.85,4.94,4.83,0.0,1.0,0.0,1.0,0.0,2.5,34.0,-0.1,1000.0,4.1060606060606055,0.0,0.0,18.0,1.0,88.0,0.0,0.0,1.0,1.0,19.0
55868,1.0,264178.0,4432.0,4.0,100.0,25.0,1.0,1.0,1.0,1.0,1.0,52.35597,4.88512,12.0,0.0,4.0,2.0,2.0,149.0,3.0,21.0,3.0,3.0,21.0,21.0,3.0,21.0,1.0,1.0,2.0,2.0,31.0,95.0,0.0,0.0,4354.0,1067.0,4.86,4.91,4.86,4.95,4.98,4.95,4.8,0.0,1.0,1.0,0.0,0.0,0.65,35.0,0.1,1000.0,3.2274350649350647,263.0,0.2625,3.0,1.0,903.0,6.672727272727274,0.0,1.5,1.0,22.0
